station_id,station_type,date,cylinders_sold,stock_available,day_of_week,is_weekend,is_festival_week,season,supplier_lead_days,month,week_number
STN_001,Urban,2024-01-01,243,1157,0,0,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-02,228,929,1,0,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-03,226,703,2,0,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-04,226,477,3,0,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-05,268,209,4,0,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-06,285,0,5,1,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-07,252,348,6,1,0,NE_Monsoon,3,1,1
STN_001,Urban,2024-01-08,245,103,0,0,0,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-09,238,465,1,0,0,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-10,188,277,2,0,0,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-11,209,68,3,0,0,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-12,240,428,4,0,0,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-13,411,17,5,1,1,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-14,350,267,6,1,1,NE_Monsoon,3,1,2
STN_001,Urban,2024-01-15,298,0,0,0,1,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-16,318,282,1,0,1,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-17,296,0,2,0,1,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-18,226,374,3,0,0,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-19,233,141,4,0,0,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-20,238,503,5,1,0,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-21,288,215,6,1,0,NE_Monsoon,3,1,3
STN_001,Urban,2024-01-22,205,10,0,0,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-23,203,407,1,0,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-24,238,169,2,0,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-25,251,518,3,0,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-26,238,280,4,0,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-27,264,16,5,1,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-28,259,357,6,1,0,NE_Monsoon,3,1,4
STN_001,Urban,2024-01-29,224,133,0,0,0,NE_Monsoon,3,1,5
STN_001,Urban,2024-01-30,259,474,1,0,0,NE_Monsoon,3,1,5
STN_001,Urban,2024-01-31,242,232,2,0,0,NE_Monsoon,3,1,5
STN_001,Urban,2024-02-01,205,27,3,0,0,Dry,3,2,5
STN_001,Urban,2024-02-02,0,627,4,0,1,Dry,3,2,5
